pmid,title,query_families,keyword_domains,abstract_priority_score,manual_status,abstract_status
27515537,Sucrose-enhanced biosynthesis of medicinally important antioxidant secondary metabolites in cell suspension cultures of Artemisia absinthium L.,biosynthesis_genes,genomics;primary_methods,3,pending_manual_review,retrieved
27810398,Highly oxidized sesquiterpenes from Artemisia austro-yunnanensis.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
27928139,Bioactivities and Chemical Constituents of Essential Oil Extracted from Artemisia anethoides Against Two Stored Product Insects.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
28061778,"Sesquiterpene lactone! a promising antioxidant, anticancer and moderate antinociceptive agent from Artemisia macrocephala jacquem.",terpene_essential_oil;sesquiterpene_lactone,chemistry;primary_methods,3,pending_manual_review,retrieved
28143473,"Chemical composition, vasorelaxant, antioxidant and antiplatelet effects of essential oil of Artemisia campestris L. from Oriental Morocco.",terpene_essential_oil;safety,chemistry;primary_methods,3,pending_manual_review,retrieved
28286732,Water deficit-induced oxidative stress affects artemisinin content and expression of proline metabolic genes in Artemisia annua L.,sesquiterpene_lactone,genomics;primary_methods,3,pending_manual_review,retrieved
28290017,Artemisia arborescens L essential oil-loaded solid lipid nanoparticles for potential agricultural application: Preparation and characterization.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
28301522,Quantification of santonin in eight species of Artemisia from Kazakhstan by means of HPLC-UV: Method development and validation.,terpene_essential_oil;sesquiterpene_lactone;antiparasitic;safety,antiparasitic;safety,3,pending_manual_review,retrieved
28361549,Antimicrobial sesquiterpene lactones from Artemisia sieberi.,terpene_essential_oil;sesquiterpene_lactone,chemistry;primary_methods,3,pending_manual_review,retrieved
28381767,Volatile Components of the Essential Oil of Artemisia montana and Their Sedative Effects.,terpene_essential_oil;biosynthesis_genes;safety,chemistry;safety,3,pending_manual_review,retrieved
28438564,Essential oil of Artemisia argyi suppresses inflammatory responses by inhibiting JAK/STATs activation.,terpene_essential_oil;diterpene_triterpene;biosynthesis_genes;safety,chemistry;primary_methods,3,pending_manual_review,retrieved
28477002,Biosynthesis of silver nanoparticles using Artemisia annua callus for inhibiting stem-end bacteria in cut carnation flowers.,biosynthesis_genes,genomics;primary_methods,3,pending_manual_review,retrieved
28533790,"AaPDR3, a PDR Transporter 3, Is Involved in Sesquiterpene β-Caryophyllene Transport in Artemisia annua.",sesquiterpene_lactone,chemistry;primary_methods,3,pending_manual_review,retrieved
28606189,Therapeutic efficacy of Artemisia absinthium against Hymenolepis nana: in vitro and in vivo studies in comparison with the anthelmintic praziquantel.,antiparasitic,antiparasitic;primary_methods,3,pending_manual_review,retrieved
28651437,Comparative study on Artemisia halodendron Turcz. and its two related plants by GC-MS analysis and protective effect against carbon tetrachloride-induced hepatotoxicity in mice.,terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
28810533,Deltamethrin induced oxidative stress in kidney and brain of rats: Protective effect of Artemisia campestris essential oil.,terpene_essential_oil;biosynthesis_genes;safety,chemistry;safety,3,pending_manual_review,retrieved
28840973,Absolute configuration of the ocimene monoterpenoids from Artemisia absinthium.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
28877539,Liquid and Vapor-Phase Activity of Artemisia annua Essential Oil against Pathogenic Malassezia spp.,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
